id,description,category,price,receiver,date,party,gifter,gift
1103,"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 69,95.",boeken,69.95,"Kuik, A. (Anne)",2022-04-05,CDA,Noordhoff uitgevers,de zesenvijftigste editie van de Grote Bosatlas ter waarde van
1104,Ontvangen van AGF Detailhandel Nederland een pakket met groenten en fruit. De waarde is onbekend.,etenswaren en dranken,,"Kuik, A. (Anne)",2021-06-01,CDA,AGF Detailhandel Nederland,een pakket met groenten en fruit. De waarde is onbekend
1105,Ontvangen van gemeente Rotterdam een kaart voor het concert van Marco Borsato. De waarde is onbekend.,uitnodigingen en tickets,,"Kuik, A. (Anne)",2019-06-01,CDA,gemeente Rotterdam,een kaart voor het concert van Marco Borsato. De waarde is onbekend
1106,"Ontvangen op uitnodiging van Gedeputeerde S.A.E. Poepjes van provincie Friesland twee kaarten (voor haar zelf en haar man) voor de voorstelling De Stormruiter in Leeuwarden (inclusief diner) met een totale waarde van €240,- (€120,- per",uitnodigingen en tickets,240.0,"Kuik, A. (Anne)",2018-09-15,CDA,provincie Friesland,
1107,"Ontvangen een dinerbon voor een 4-gangen diner voor 2 personen inclusief wijn arrangement te besteden bij Restaurant NU in Drachten, als dank voor deelname in de jury bij de STAR-Awards van het ROC Friese poort in Leeuwarden. De",cadeaubonnen en geldbedragen,,"Kuik, A. (Anne)",2018-04-25,CDA,nan,
1108,"Ontvangen van AFNL-NOA als dank voor deelname in het panel van Politiek forum / bijeenkomst toekomst kleinschalige opleidingen ambachtelijke beroepen in Nieuwspoort een boekenbon ter waarde van €50,-.",boeken,50.0,"Kuik, A. (Anne)",2018-04-17,CDA,AFNL-NOA als dank,voor deelname in het panel van Politiek forum / bijeenkomst toekomst kleinschalige opleidingen ambachtelijke beroepen in Nieuwspoort een boekenbon ter waarde van
1109,"Ontvangen van Rene Paas, UMCG Hartchirurgie het boek 'Een streepje voor'. De waarde is onbekend.",boeken,,"Kuiken, A.H. (Attje)",2022-11-01,GL-PvdA,"Rene Paas, UMCG Hartchirurgie",het boek 'Een streepje voor'. De waarde is onbekend
1110,Ontvangen een marmeren doosje van de Ambassadeur van India in het kader van de felicitatie van het voorzitterschap van de commissie voor Buitenlandse Zaken. De waarde is onbekend. Het staat in de vitrine kast van de PvdA.,overig,,"Kuiken, A.H. (Attje)",2022-05-02,GL-PvdA,de Ambassadeur van India in,een marmeren doosje van de Ambassadeur van India in het kader van de felicitatie van het voorzitterschap van de commissie voor Buitenlandse Zaken. De waarde is onbekend
1111,"Ontvangen van Wolters Kluwer/ G. Karapetian het boek ""Morganatisch burgerschap"" van Mr. G. Karapetian. De waarde is onbekend. Voor eigen gebruik gehouden.",boeken,,"Kuiken, A.H. (Attje)",2020-01-14,GL-PvdA,Wolters Kluwer/ G. Karapetian," het boek ""Morganatisch burgerschap"" van Mr. G. Karapetian. De waarde is onbekend"
1112,"Ontvangen van Elsevier weekblad het boek ""Haagse bespiegelingen"" van Bert van Braak. De waarde is onbekend.",boeken,,"Kuiken, A.H. (Attje)",2019-12-18,GL-PvdA,Elsevier weekblad," het boek ""Haagse bespiegelingen"" van Bert van Braak. De waarde is onbekend"
