id,description,category,price,receiver,date,party,gifter,gift
1345,"Ontvangen van Existential Risk Observatory een bos bloemen en boekenbon. De waarde is circa €45,-.",bloemen,45.0,"Rajkowski, Q.M. (Queeny)",2023-04-13,VVD,Existential Risk Observatory,
1346,Ontvangen van Schuberg Philis een fles wijn en chocolaatjes. De waarde is onbekend.,etenswaren en dranken,,"Rajkowski, Q.M. (Queeny)",2023-03-30,VVD,Schuberg Philis,een fles wijn en chocolaatjes. De waarde is onbekend
1347,Ontvangen van de organisatie twee kaartjes voor 'Nacht van de militaire muziek 2' De waarde is onbekend.,uitnodigingen en tickets,,"Rajkowski, Q.M. (Queeny)",2023-03-18,VVD,de organisatie,de organisatie twee kaartjes voor 'Nacht van de militaire muziek 2' De waarde is onbekend
1348,"Ontvangen van Elsevier Weekblad het boek ‘Handboek minister: de lang geheimgehouden instructies aan bewindslieden’, ook wel het 'blauwe boek' genoemd. De waarde is onbekend.",boeken,,"Rajkowski, Q.M. (Queeny)",2022-12-21,VVD,Elsevier Weekblad," het boek ‘Handboek minister: de lang geheimgehouden instructies aan bewindslieden’, ook wel het 'blauwe boek' genoemd. De waarde is onbekend"
1349,Ontvangen van de van de KRO-NCRV een half jaarabonnement op Quest wegens deelname aan de Slimste mens. De waarde is onbekend.,overig,,"Rajkowski, Q.M. (Queeny)",2022-12-01,VVD,de van,de van de KRO-NCRV een half jaarabonnement op Quest wegens deelname aan de Slimste mens. De waarde is onbekend
1350,Ontvangen van ESET haardhout. De waarde is onbekend.,overig,,"Rajkowski, Q.M. (Queeny)",2022-11-24,VVD,nan,
1351,Ontvangen van Mars chocolaatjes. De waarde is onbekend.,etenswaren en dranken,,"Rajkowski, Q.M. (Queeny)",2022-11-11,VVD,nan,
1352,Ontvangen een uitnodiging voor het ECP Diner. De waarde is onbekend.,uitnodigingen en tickets,,"Rajkowski, Q.M. (Queeny)",2022-06-22,VVD,nan,een uitnodiging voor het ECP Diner. De waarde is onbekend
1353,"Ontvangen van Uitgeverij Noordhoff de Grote Bosatlas ter waarde van € 70,-.",boeken,70.0,"Rajkowski, Q.M. (Queeny)",2022-04-06,VVD,Uitgeverij Noordhoff,de Grote Bosatlas ter waarde van
1354,Ontvangen een uitnodiging voor het ECP Diner. De waarde is onbekend.,uitnodigingen en tickets,,"Rajkowski, Q.M. (Queeny)",2022-02-02,VVD,nan,een uitnodiging voor het ECP Diner. De waarde is onbekend
1355,"Ontvangen tijdens een bijeenkomst drie boeken (On Cyber; Jelle van Haaster, Cyber Warfare; Paul Ducheine en NL ARMS Netherlands Annual Review of Military Studies 2020; Frans Osinga) met een geschatte waarde van €100,-.",boeken,100.0,"Rajkowski, Q.M. (Queeny)",2021-12-03,VVD,nan,
1356,"Ontvangen een vogelhuis ter waarde van circa €15,-.",overig,15.0,"Rajkowski, Q.M. (Queeny)",2021-03-17,VVD,nan,een vogelhuis ter waarde van
1357,"Ontvangen een boeren welkomstpakket ter waarde van circa €20,-.",overig,20.0,"Rajkowski, Q.M. (Queeny)",2021-03-17,VVD,nan,een boeren welkomstpakket ter waarde van
1358,"Ontvangen van uitgeverij Noordhoff de 56e editie van de Grote Bosatlas met een waarde van €70,-.",boeken,70.0,"Richardson, S.M. (Simone)",2022-04-21,VVD,uitgeverij Noordhoff,
1359,"Ontvangen van Boom uitgevers Amsterdam drie boeken: Montesquieu, over de geest van de wetten (waarde €64,50); Mill over de vrijheid (waarde €18,50) en Pascal Bruckner, Tirannie van het berouw (€23,90), Totale waarde €106,90.",boeken,64.5,"Richardson, S.M. (Simone)",2008-09-30,VVD,"de wetten (waarde €64,50); Mill over",
1360,Ontvangen van de ontwerper van Josh V. kleding die gebruikt is bij een fotoshoot van het merk Josh V. De waarde is onbekend.,overig,,"Sahla, F. (Fonda)",2023-03-22,D66,Josh V. kleding die gebruikt is bij,de ontwerper van Josh V. kleding die gebruikt is bij een fotoshoot van het merk Josh V. De waarde is onbekend
1361,"Ontvangen van Jos van Campen het boek: ‘Persoonsgerichte zorg voor iedereen’ ter waarde van €71,43.",boeken,71.43,"Sahla, F. (Fonda)",2023-03-22,D66,Jos van Campen,het boek: ‘Persoonsgerichte zorg voor iedereen’ ter waarde van
1362,Ontvangen 2 kaarten voor de voetbalwedstrijd van de Oranje Leeuwinnen - Noorwegen. De waarde is onbekend.,uitnodigingen en tickets,,"Sahla, F. (Fonda)",2022-10-11,D66,nan,2 kaarten voor de voetbalwedstrijd van de Oranje Leeuwinnen - Noorwegen. De waarde is onbekend
1363,"Ontvangen van Uitgeverij Noordhoff de 56e editie van De Grote Bosatlas ter waarde van €69,95.",boeken,69.95,"Sahla, F. (Fonda)",2022-04-06,D66,Uitgeverij Noordhoff,de 56e editie van De Grote Bosatlas ter waarde van
1364,"Ontvangen het boek ‘Zo, nu ben je wees’ van Jojanneke van den Bosch ter waarde van €39,90.",boeken,39.9,"Simons, C. (Chris)",2023-10-19,VVD,nan," het boek ‘Zo, nu ben je wees’ van Jojanneke van den Bosch ter waarde van"
1365,"Ontvangen van Hester Bais het boek ‘Worst bank scenario’ ter waarde van €25,00.",boeken,25.0,"Simons, C. (Chris)",2023-03-14,VVD,Hester Bais,het boek ‘Worst bank scenario’ ter waarde van
1366,"Ontvangen van uitgeverij Elsevier Boeken het boek ‘Handboek Minister’ ter waarde van €14,95.",boeken,14.95,"Simons, C. (Chris)",2022-12-20,VVD,uitgeverij Elsevier Boeken,het boek ‘Handboek Minister’ ter waarde van
1367,Ontvangen van Mars een pakket met diverse chocoladerepen. De waarde is onbekend.,etenswaren en dranken,,"Simons, C. (Chris)",2022-12-12,VVD,nan,een pakket met diverse chocoladerepen. De waarde is onbekend
1368,Ontvangen van Heineken een bierpakket met alcoholvrij bier (0.0%). De waarde is onbekend.,etenswaren en dranken,,"Simons, C. (Chris)",2022-11-28,VVD,Heineken,een bierpakket met alcoholvrij bier (0.0%). De waarde is onbekend
1369,"Ontvangen van de provincie Zeeland een tweetal boeken: ""Zeeuws meisje #Broederschap"" en ""Zeeuw meisje Gelijkheid"" van Rem van den Bosch. De gezamenlijke waarde is €70,-.",boeken,70.0,"Simons, C. (Chris)",2022-10-19,VVD,de provincie Zeeland,
1370,Ontvangen van Pondres tijdens een werkbezoek een gepersonaliseerd chocoladetablet. De waarde is onbekend.,uitnodigingen en tickets,,"Simons, C. (Chris)",2022-07-12,VVD,Pondres,een werkbezoek een gepersonaliseerd chocoladetablet. De waarde is onbekend
1371,"Ontvangen van de KNVB een entreebewijs en parkeerkaart voor de wedstrijd Nederland-Griekenland inclusief eten, drankjes en promotiemateriaal. De waarde is onbekend.",uitnodigingen en tickets,,"Sjoerdsma, S.W. (Sjoerd)",2023-09-07,D66,de KNVB," de KNVB een entreebewijs en parkeerkaart voor de wedstrijd Nederland-Griekenland inclusief eten, drankjes en promotiemateriaal. De waarde is onbekend"
1372,"Ontvangen van Uitgeverij Noordhoff de 56e editie van De Grote Bosatlas ter waarde van €69,95.",boeken,69.95,"Sjoerdsma, S.W. (Sjoerd)",2022-04-06,D66,Uitgeverij Noordhoff,de 56e editie van De Grote Bosatlas ter waarde van
1373,"Ontvangen van het Burgercomité-EU het boek “Manifest aan het volk van Nederland: aanklacht tegen de afschaffing van ons land en de ondermijning van onze democratie” ter waarde van €15,-.",boeken,15.0,"Sjoerdsma, S.W. (Sjoerd)",2015-05-28,D66,het Burgercomité-EU,het Burgercomité-EU het boek “Manifest aan het volk van Nederland: aanklacht tegen de afschaffing van ons land en de ondermijning van onze democratie” ter waarde van
1374,"Ontvangen van Area Reiniging N.V. het boek ""Wake Up! Upcycle je regio"" ter waarde van €20,-.",boeken,20.0,"Sjoerdsma, S.W. (Sjoerd)",2015-05-19,D66,Area Reiniging N.V.," het boek ""Wake Up! Upcycle je regio"" ter waarde van"
1375,"Ontvangen van Uitgeverij Parthenon het boek ""Piramidesteden, afscheid van het kapitalisme, de wereldwijde armoede en roofbouw op de natuur"". De waarde is onbekend.",boeken,,"Sjoerdsma, S.W. (Sjoerd)",2015-03-26,D66,Uitgeverij Parthenon," het boek ""Piramidesteden, afscheid van het kapitalisme, de wereldwijde armoede en roofbouw op de natuur"". De waarde is onbekend"
1376,Ontvangen een fles Veuve Clicquot Brut van de Vertegenwoordiging van Taiwan. De waarde is onbekend.,etenswaren en dranken,,"Sjoerdsma, S.W. (Sjoerd)",2014-12-16,D66,nan,een fles Veuve Clicquot Brut van de Vertegenwoordiging van Taiwan. De waarde is onbekend
1377,"Ontvangen een ticket voor het crossing border festival op 16 november 2012 ter waarde van €125,-.",uitnodigingen en tickets,125.0,"Sjoerdsma, S.W. (Sjoerd)",2012-11-16,D66,nan,een ticket voor het crossing border festival op 16 november 2012 ter waarde van
1378,"Ontvangen het boek ‘Gokkers en Graaiers’ van Roel Janssen ter waarde van € 22,50.",boeken,22.5,"Slootweg, E.J. (Evert Jan)",2023-02-22,CDA,nan,het boek ‘Gokkers en Graaiers’ van Roel Janssen ter waarde van
1379,"Ontvangen van de provincie Utrecht een wielrenshirt ter waarde van €61,15.",overig,61.15,"Slootweg, E.J. (Evert Jan)",2022-08-14,CDA,de provincie Utrecht,de provincie Utrecht een wielrenshirt ter waarde van
1380,"Ontvangen van de Provincie Gelderland een rugzak met een geschatte waarde hoger dan €50,-.",overig,50.0,"Slootweg, E.J. (Evert Jan)",2018-09-18,CDA,de Provincie Gelderland,
1381,Ontvangen van de HeadFirst Group oortjes voor telefoon. De waarde is onbekend.,overig,,"Smals, B.M.G. (Bart)",2023-11-07,VVD,de HeadFirst Group oortjes,de HeadFirst Group oortjes voor telefoon. De waarde is onbekend
1382,Ontvangen van ondernemers uit de Bollenstreek een doos tulpenbollen. De waarde is onbekend.,bloemen,,"Smals, B.M.G. (Bart)",2023-10-26,VVD,ondernemers uit,de Bollenstreek een doos tulpenbollen. De waarde is onbekend
1383,"Ontvangen als Voorzitter van de vaste commissie voor Volksgezondheid, Welzijn en Sport een cadeaupakket van de Brandenburg Delegatie. De waarde is onbekend.",overig,,"Smals, B.M.G. (Bart)",2023-09-13,VVD,de vaste commissie," de vaste commissie voor Volksgezondheid, Welzijn en Sport een cadeaupakket van de Brandenburg Delegatie. De waarde is onbekend"
1384,Ontvangen een boek over Politieke polarisatie in Nederland. De waarde is onbekend.,boeken,,"Smals, B.M.G. (Bart)",2023-07-03,VVD,nan,een boek over Politieke polarisatie in Nederland. De waarde is onbekend
1385,Ontvangen van het Voedingscentrum het ‘Schijf van Vijf Kookboek’. De waarde is onbekend.,boeken,,"Smals, B.M.G. (Bart)",2023-06-13,VVD,het Voedingscentrum,het Voedingscentrum het ‘Schijf van Vijf Kookboek’. De waarde is onbekend
1386,"Ontvangen van Martin Pikaart het boek ‘Wanbeleid, Algemeen Burgerlijk’. De waarde is onbekend.",uitnodigingen en tickets,,"Smals, B.M.G. (Bart)",2023-06-12,VVD,Martin Pikaart," het boek ‘Wanbeleid, Algemeen Burgerlijk’. De waarde is onbekend"
1387,Ontvangen van Martin Pikaart het boek ‘Het Polderkartel’. De waarde is onbekend.,uitnodigingen en tickets,,"Smals, B.M.G. (Bart)",2023-05-24,VVD,Martin Pikaart,het boek ‘Het Polderkartel’. De waarde is onbekend
1388,"Ontvangen van de VVD Masterclass Rotterdam het boek ‘Veel, klein en curieus: De wereld van Antoni van Leeuwenhoek (1632-1723)'. De waarde is onbekend.",boeken,,"Smals, B.M.G. (Bart)",2023-04-21,VVD,de VVD Masterclass Rotterdam," de VVD Masterclass Rotterdam het boek ‘Veel, klein en curieus: De wereld van Antoni van Leeuwenhoek (1632-1723)'. De waarde is onbekend"
1389,Ontvangen van de wethouder van Voorschoten een fles wijn en Voorschotens Kruidenbitter. De waarde is onbekend.,etenswaren en dranken,,"Smals, B.M.G. (Bart)",2023-04-14,VVD,de wethouder van Voorschoten,de wethouder van Voorschoten een fles wijn en Voorschotens Kruidenbitter. De waarde is onbekend
1390,Ontvangen van de Gemeente Delft een uitnodiging voor de Matthäus-Passion in de Nieuwe Kerk te Delft. De waarde is onbekend.,uitnodigingen en tickets,,"Smals, B.M.G. (Bart)",2023-04-06,VVD,de Gemeente Delft,de Gemeente Delft een uitnodiging voor de Matthäus-Passion in de Nieuwe Kerk te Delft. De waarde is onbekend
1391,Ontvangen het boek “Worst Bank Scenario” van Hester Bias en Wink Sabée. De waarde is onbekend,boeken,,"Smals, B.M.G. (Bart)",2023-03-14,VVD,nan,het boek “Worst Bank Scenario” van Hester Bias en Wink Sabée. De waarde is onbekend
1392,Ontvangen van de Gemeente Rotterdam twee tickets voor het nieuwjaarsconcert op 12 januari 2023. De waarde is onbekend.,uitnodigingen en tickets,,"Smals, B.M.G. (Bart)",2023-01-10,VVD,de Gemeente Rotterdam,de Gemeente Rotterdam twee tickets voor het nieuwjaarsconcert op 12 januari 2023. De waarde is onbekend
1393,Ontvangen van de Koreaanse delegatie die op 15 december 2022 een bezoek bracht aan de Kamer een opbergdoosje. De waarde is onbekend.,uitnodigingen en tickets,,"Smals, B.M.G. (Bart)",2022-12-15,VVD,de Koreaanse delegatie die op 15 december 2022,de Koreaanse delegatie die op 15 december 2022 een bezoek bracht aan de Kamer een opbergdoosje. De waarde is onbekend
1394,Ontvangen van Mars Nederland een chocoladepakket. De waarde is onbekend.,etenswaren en dranken,,"Smals, B.M.G. (Bart)",2022-12-12,VVD,Mars Nederland,een chocoladepakket. De waarde is onbekend
1395,Ontvangen van Heineken een bierpakket met alcoholvrij bier (0.0%). De waarde is onbekend.,etenswaren en dranken,,"Smals, B.M.G. (Bart)",2022-11-28,VVD,Heineken,een bierpakket met alcoholvrij bier (0.0%). De waarde is onbekend
1396,Ontvangen van de Lion’s Club ’s Hertogenbosch een bos bloemen als dank voor een spreekbeurt. De waarde is onbekend.,bloemen,,"Smals, B.M.G. (Bart)",2022-11-14,VVD,de Lion’s Club ’s Hertogenbosch,de Lion’s Club ’s Hertogenbosch een bos bloemen als dank voor een spreekbeurt. De waarde is onbekend
1397,Ontvangen van het Meisjeshuis twee flessen wijn als dank voor het houden van een lezing. De waarde is onbekend.,etenswaren en dranken,,"Smals, B.M.G. (Bart)",2022-10-19,VVD,het Meisjeshuis,het Meisjeshuis twee flessen wijn als dank voor het houden van een lezing. De waarde is onbekend
1398,Ontvangen van de Nederlandse Orde van Belastingadviseurs (NOB) twee flessen wijn. De waarde is onbekend.,etenswaren en dranken,,"Smals, B.M.G. (Bart)",2022-10-04,VVD,de Nederlandse Orde van Belastingadviseurs (NOB),de Nederlandse Orde van Belastingadviseurs (NOB) twee flessen wijn. De waarde is onbekend
1399,Ontvangen van Napco een fles wijn en het boek 'Het Koninklijk Huis' geschreven door Herman Koch. De waarde is onbekend.,etenswaren en dranken,,"Smals, B.M.G. (Bart)",2022-09-28,VVD,Napco,een fles wijn en het boek 'Het Koninklijk Huis' geschreven door Herman Koch. De waarde is onbekend
1400,Ontvangen een gepersonaliseerd chocoladetablet van Pondres tijdens een werkbezoek. De waarde is onbekend.,uitnodigingen en tickets,,"Smals, B.M.G. (Bart)",2022-07-12,VVD,Pondres,een gepersonaliseerd chocoladetablet van Pondres tijdens een werkbezoek. De waarde is onbekend
1401,Ontvangen een bos bloemen voor deelname aan #Flexcrisis Te Lijf van de FNV. De waarde is onbekend.,bloemen,,"Smals, B.M.G. (Bart)",2022-06-24,VVD,nan,een bos bloemen voor deelname aan #Flexcrisis Te Lijf van de FNV. De waarde is onbekend
1402,Ontvangen een borrelpakket voor deelname aan een themabijeenkomst over pensioenen. De waarde is onbekend.,etenswaren en dranken,,"Smals, B.M.G. (Bart)",2022-06-15,VVD,nan,een borrelpakket voor deelname aan een themabijeenkomst over pensioenen. De waarde is onbekend
1403,Ontvangen van Fontys Hogeschool een Florence Nightingale Guidelight. De waarde is onbekend.,overig,,"Smals, B.M.G. (Bart)",2022-06-14,VVD,Fontys Hogeschool,een Florence Nightingale Guidelight. De waarde is onbekend
1404,Ontvangen van VvDN een fles witte wijn voor deelname aan de debatbijeenkomst. De waarde is onbekend.,etenswaren en dranken,,"Smals, B.M.G. (Bart)",2022-06-13,VVD,VvDN een fles witte wijn,een fles witte wijn voor deelname aan de debatbijeenkomst. De waarde is onbekend
1405,Ontvangen een bos bloemen voor deelname aan het Aegon/VU Flitscongres. De waarde is onbekend.,bloemen,,"Smals, B.M.G. (Bart)",2022-06-13,VVD,nan,een bos bloemen voor deelname aan het Aegon/VU Flitscongres. De waarde is onbekend
1406,Ontvangen van de Gemeente Delft een uitnodiging voor de Matthäus-Passion in de Nieuwe Kerk te Delft. De waarde is onbekend.,uitnodigingen en tickets,,"Smals, B.M.G. (Bart)",2022-04-13,VVD,de Gemeente Delft,de Gemeente Delft een uitnodiging voor de Matthäus-Passion in de Nieuwe Kerk te Delft. De waarde is onbekend
1407,Ontvangen van Deliveroo Amsterdam een trui. De waarde is onbekend.,overig,,"Smals, B.M.G. (Bart)",2022-04-04,VVD,Deliveroo Amsterdam,een trui. De waarde is onbekend
1408,Ontvangen van de Provincie Zeeland een Zeeuwse pen. De waarde is onbekend.,overig,,"Smals, B.M.G. (Bart)",2022-03-31,VVD,de Provincie Zeeland,de Provincie Zeeland een Zeeuwse pen. De waarde is onbekend
1409,Ontvangen van Rob de Brouwer de boeken ‘Het pensioendrama ontrafeld’ en ’21 mythes en onwaarheden over ons pensioen’. De waarde is onbekend.,boeken,,"Smals, B.M.G. (Bart)",2022-03-30,VVD,Rob de Brouwer,de Brouwer de boeken ‘Het pensioendrama ontrafeld’ en ’21 mythes en onwaarheden over ons pensioen’. De waarde is onbekend
1410,Ontvangen van Uitgeverij Noordhoff de 56e editie van de Bosatlas. De waarde is onbekend.,boeken,69.95,"Smals, B.M.G. (Bart)",2022-03-30,VVD,Uitgeverij Noordhoff,de 56e editie van de Bosatlas. De waarde is onbekend
1411,"Ontvangen van Marcel Gerritsen van BPRA een fles kruidenbitter en het boek ""Billy Summers"" geschreven door Stephen King. De waarde is onbekend.",etenswaren en dranken,,"Smals, B.M.G. (Bart)",2022-03-21,VVD,Marcel Gerritsen van BPRA," een fles kruidenbitter en het boek ""Billy Summers"" geschreven door Stephen King. De waarde is onbekend"
1412,Ontvangen van BeGlobal een blik stroopwafels. De waarde is onbekend.,etenswaren en dranken,,"Smals, B.M.G. (Bart)",2022-03-18,VVD,BeGlobal,een blik stroopwafels. De waarde is onbekend
1413,"Ontvangen van Teun Toebes het boek ""VerpleegThuis: Wat ik leer van mijn huisgenoten met dementie"". De waarde is onbekend.",boeken,,"Smals, B.M.G. (Bart)",2021-12-16,VVD,Teun Toebes," het boek ""VerpleegThuis: Wat ik leer van mijn huisgenoten met dementie"". De waarde is onbekend"
1414,"Ontvangen van Basisberaad Rotterdam, een afdeling van Zorgbelang Inclusief een viertal pennen. De waarde is onbekend.",overig,,"Smals, B.M.G. (Bart)",2021-12-10,VVD,"Basisberaad Rotterdam,",een afdeling van Zorgbelang Inclusief een viertal pennen. De waarde is onbekend
1415,Ontvangen van Connie Rijlaarsdam van Nu Niet Zwanger het boek ‘Nu kan ik verder’ De echte verhalen van Nu Niet Zwanger. De waarde is onbekend.,boeken,,"Smals, B.M.G. (Bart)",2021-12-08,VVD,Connie Rijlaarsdam van Nu Niet Zwanger,het boek ‘Nu kan ik verder’ De echte verhalen van Nu Niet Zwanger. De waarde is onbekend
1416,"Ontvangen voor het houden van een lezing bij Delft Business, een paar sokken en een waardebon van €100,-.",overig,100.0,"Smals, B.M.G. (Bart)",2021-11-11,VVD,"een lezing bij Delft Business,",
1417,Ontvangen van UPSV een fles rode wijn als dank voor deelname aan een panel. De waarde is onbekend.,etenswaren en dranken,,"Smals, B.M.G. (Bart)",2020-11-18,VVD,UPSV een fles rode wijn als dank,een fles rode wijn als dank voor deelname aan een panel. De waarde is onbekend
1418,Ontvangen tijdens een werkbezoek een gepersonaliseerd t-shirt van Heracles Almelo. De waarde is onbekend.,uitnodigingen en tickets,,"Smals, B.M.G. (Bart)",2020-02-14,VVD,nan,een werkbezoek een gepersonaliseerd t-shirt van Heracles Almelo. De waarde is onbekend
1419,Ontvangen bij zijn afscheid van de lokale gemeenteraad Delft een gepersonaliseerd Delfsblauw bordje ontvangen. De waarde is onbekend.,overig,,"Smals, B.M.G. (Bart)",2019-09-26,VVD,de lokale gemeenteraad Delft,de lokale gemeenteraad Delft een gepersonaliseerd Delfsblauw bordje ontvangen. De waarde is onbekend
1420,Ontvangen één toegangskaart voor CH de Wolden op uitnodiging van CH de Wolden. De waarde is onbekend.,uitnodigingen en tickets,,"Smals, B.M.G. (Bart)",2019-07-21,VVD,nan,één toegangskaart voor CH de Wolden op uitnodiging van CH de Wolden. De waarde is onbekend
1421,Ontvangen een ticket voor interdisciplinary conference on psychedelic research (ICPR). De waarde is onbekend.,uitnodigingen en tickets,,"Sneller, J.C. (Joost)",2022-09-23,D66,nan,een ticket voor interdisciplinary conference on psychedelic research (ICPR). De waarde is onbekend
1422,"Ontvangen van Uitgeverij Noordhoff de 56e editie van De Grote Bosatlas ter waarde van €69,95.",boeken,69.95,"Sneller, J.C. (Joost)",2022-04-06,D66,Uitgeverij Noordhoff,de 56e editie van De Grote Bosatlas ter waarde van
1423,"Ontvangen van de Gemeente Den Haag 2 tickets voor het Prinsjesdag-concert. De waarde is minimaal €70,-.",uitnodigingen en tickets,70.0,"Sneller, J.C. (Joost)",2023-09-21,D66,de Gemeente Den Haag,
1424,"Ontvangen van uitgeverij Noordhoff de 56e editie van de Grote Bosatlas ter waarde van €70,-.",boeken,70.0,"Sneller, J.C. (Joost)",2022-04-01,D66,uitgeverij Noordhoff,de 56e editie van de Grote Bosatlas ter waarde van
1425,"Ontvangen voor het houden van een lezing voor Jongeren GGiN Barneveld, €70 (inclusief reiskosten).",cadeaubonnen en geldbedragen,70,"Sneller, J.C. (Joost)",2021-10-08,D66,een lezing,
1426,"Ontvangen waardebonnen ter waarde van €300,- voor een bijdrage aan de Benzo Businessclub Hoeksewaard",cadeaubonnen en geldbedragen,300.0,"Sneller, J.C. (Joost)",2020-01-22,D66,"€300,-",
1427,"Ontvangen van uitgeverij Jongbloed boeken ter waarde van €250,- voor een bijdrage aan het boekje ""Zeg het maar""",boeken,250.0,"Sneller, J.C. (Joost)",2020-01-09,D66,"uitgeverij Jongbloed boeken ter waarde van €250,-",
1428,"Ontvangen van de auteur, dhr. Sven Koopmans, het boek ""Negotiating Peace - a guide to the practice, politics, and law of international mediation"" ter waarde van €133,-.",boeken,133.0,"Sneller, J.C. (Joost)",2018-09-12,D66,"de auteur, dhr. Sven Koopmans,"," de auteur, dhr. Sven Koopmans, het boek ""Negotiating Peace - a guide to the practice, politics, and law of international mediation"" ter waarde van"
1429,"Ontvangen €150,- voor een bijdrage tijdens een gemeenteavond reformatorische kerken te Den Haag.",cadeaubonnen en geldbedragen,150.0,"Sneller, J.C. (Joost)",2018-06-01,D66,nan,
1430,"Ontvangen van Jip Wijngaarden, ter gelegenheid van de opening van haar expositie: giclée “In al hun benauwheid was Hij benauwd” en het boek “Boom des levens”. De waarde is onbekend.",boeken,,"Sneller, J.C. (Joost)",2018-05-01,D66,"Jip Wijngaarden, ter",ter gelegenheid van de opening van haar expositie: giclée “In al hun benauwheid was Hij benauwd” en het boek “Boom des levens”. De waarde is onbekend
1431,"Ontvangen voor een bijdrage aan de boekpresentatie leerstoel ""Kerk in de context van de islam"" een cadeaubon ter waarde van €50,- en een dinerbon ter waarde van €25,-.",boeken,50.0,"Sneller, J.C. (Joost)",2017-05-19,D66,"de islam"""," voor een bijdrage aan de boekpresentatie leerstoel ""Kerk in de context van de islam"" een cadeaubon ter waarde van €50,- en een dinerbon ter waarde van"
1432,"Ontvangen voor het houden van een lezing aan de EMG-academie cadeaubonnen met een totale waarde van €100,-.",cadeaubonnen en geldbedragen,100.0,"Sneller, J.C. (Joost)",2017-05-15,D66,een lezing aan,
1433,"Ontvangen in het kader van Valentijn een stofzuiger ter waarde van €205,- van Klop Innovations. De stofzuiger wordt geveild voor het goede doel.",overig,205.0,"Sneller, J.C. (Joost)",2017-02-14,D66,Valentijn,het kader van Valentijn een stofzuiger ter waarde van
1434,"Ontvangen €100,- voor het houden van een masterclass voor de EMG-academie te Hoenderloo.",cadeaubonnen en geldbedragen,100.0,"Sneller, J.C. (Joost)",2016-01-18,D66,een masterclass,
1435,"Ontvangen van Van Dale Uitgevers het ""Van Dale Groot woordenboek van de Nederlandse taal"" ter waarde van €149,-.",boeken,149.0,"Sneller, J.C. (Joost)",2015-10-07,D66,Van Dale Uitgevers," het ""Van Dale Groot woordenboek van de Nederlandse taal"" ter waarde van"
1436,"Ontvangen kadobonnen ter waarde van €100,- naar aanleiding van een causerie EMG-academie te Hoenderloo.",cadeaubonnen en geldbedragen,100.0,"Sneller, J.C. (Joost)",2015-01-12,D66,"€100,- naar aanleiding van",
1437,"Ontvangen €83,- voor het houden van een lezing voor de Studium Generaal Hogeschool Driestar te Gouda.",cadeaubonnen en geldbedragen,83.0,"Sneller, J.C. (Joost)",2014-10-15,D66,een lezing,
1438,"Ontvangen een Van Dale Groot Etymologisch Woordenboek als dank voor bijdrage aan het Jubileumboek Van Dale. De waarde is €74,95.",boeken,74.95,"Sneller, J.C. (Joost)",2014-04-15,D66,nan,
1439,Ontvangen een vaas van de 'Taipei Representative Office in the Netherlands'. De waarde is onbekend.,overig,,"Sneller, J.C. (Joost)",2013-01-28,D66,nan,een vaas van de 'Taipei Representative Office in the Netherlands'. De waarde is onbekend
1440,"Ontvangen 2 kaarten voor concert Weihnachtsoratorium van het Bachkoor, Pieterskerk Leiden (op uitnodiging van B&W Leiden).",uitnodigingen en tickets,,"Sneller, J.C. (Joost)",2011-12-17,D66,nan,
1441,Ontvangen het Van Dale Groot Woordenboek Nederlandse taal en pennenset t.g.v. Groot Dictee der Nederlandse Taal.,boeken,,"Sneller, J.C. (Joost)",2011-12-14,D66,nan,
1442,"Ontvangen van Boom uitgevers Amsterdam drie boeken: Montesquieu, over de geest van de wetten (waarde €64,50); Mill over de vrijheid (waarde €18,50) en Pascal Bruckner, Tirannie van het berouw (€23,90), Totale waarde €106,90.",boeken,64.5,"Sneller, J.C. (Joost)",2008-09-30,D66,"de wetten (waarde €64,50); Mill over",
1443,"Ontvangen van uitgeverij Noordhoff de 56e editie van de Grote Bosatlas ter waarde van €70,-.",boeken,70.0,"Stoffer, C. (Chris)",2022-04-01,SGP,uitgeverij Noordhoff,de 56e editie van de Grote Bosatlas ter waarde van
1444,"Ontvangen bij werkbezoek Dutch Blower, Almelo een luchtbehandelingskast. De waarde is onbekend.",uitnodigingen en tickets,,"Stoffer, C. (Chris)",2021-05-07,SGP,nan,een luchtbehandelingskast. De waarde is onbekend
1445,"Ontvangen voor het houden van een lezing voor het Deputaatschap onderwijs, opvoeding en catechese, €200,-.",cadeaubonnen en geldbedragen,200.0,"Stoffer, C. (Chris)",2021-04-08,SGP,een lezing,
1446,"Ontvangen voor het houden van een lezing voor Driestar Educatief Gouda €100,-.",cadeaubonnen en geldbedragen,100.0,"Stoffer, C. (Chris)",2020-09-01,SGP,een lezing,
1447,"Ontvangen voor het houden van een lezing voor SGP Putten een boekenbon ter waarde van €75,-.",boeken,75.0,"Stoffer, C. (Chris)",2019-10-07,SGP,een lezing,voor het houden van een lezing voor SGP Putten een boekenbon ter waarde van
1448,"Ontvangen voor het houden van een lezing voor SGP Lunteren €125,-.",cadeaubonnen en geldbedragen,125.0,"Stoffer, C. (Chris)",2019-01-14,SGP,een lezing,
1449,"Ontvangen van WeesWijzer het boek ‘Zo, nu ben je wees’ geschreven door Jojanneke van den Bosch. De waarde is onbekend.",boeken,,"Stoffer, C. (Chris)",2023-10-18,SGP,WeesWijzer," het boek ‘Zo, nu ben je wees’ geschreven door Jojanneke van den Bosch. De waarde is onbekend"
