"Aartsen, A.A. (Thierry) - VVD",
"Ontvangen een serie van 4 gebonden boeken getiteld: “Opgravingen aan de Grote Markt Oostzijde (Raap rapport 3300)” van Marten Verbruggen, directeur RAAP. De waarde is onbekend omdat de boeken nooit zijn verkocht.",13-01-2020
Ontvangen een schilderij van kunstenaar Hilda de Vries (artiestennaam Lotje). De waarde is onbekend.,07-05-2019
Ontvangen van de provincie Noord-Holland het boek ‘Wereldvondsten uit een Hollands schip’. De waarde is onbekend.,13-03-2019
"Ontvangen een cheque van €250 voor een goed doel, voor deelname aan de collegetour van openbare scholengemeenschap Winkler Prins in Veendam. Het geld is gedoneerd aan het Stut en Steun.",19-03-2018
"Beertema, H.J. (Harm) - PVV",
Geschenken,
Geschenk,Datum
"Ontvangen van uitgeverij Noordhoff de 56e editie van de Grote Bosatlas met een waarde van €70,-.",20-04-2022
"Belhaj, S. (Salima) - D66",
Geschenken,
Geschenk,Datum
Ontvangen van het college van B&W van Rotterdam een kaartje voor het North Sea jazz. De waarde is onbekend.,07-07-2023
"Ontvangen van Kees Verhoeven het boek “De democratie crasht” ter waarde van €22,99.",04-07-2023
Bijgewoond op uitnodiging van de organisatie Black Achievement Month The Black Achievement Awards. De waarde is onbekend.,31-10-2022
Ontvangen van de Gemeente Rotterdam een toegangskaart voor het North Sea Jazz Festival te Rotterdam. De waarde is onbekend.,08-07-2022
Ontvangen van Rotterdam Festivals een Rotterdampas en een schaal. De waarde is onbekend.,08-07-2022
Ontvangen van de KNVB toegangskaarten voor de wedstrijd Nederland - Polen. De waarde is onbekend.,10-06-2022
"Ontvangen van Uitgeverij Noordhoff de 56e editie van De Grote Bosatlas ter waarde van €69,95.",06-04-2022
Ontvangen van het College van B&W Rotterdam twee tickets voor de finale van het Songfestival. De waarde is onbekend.,22-05-2021
"Ontvangen van het Elsevier Defensie Verkiezingsdebat 2 flessen wijn & boeken ter waarde van €155,-",27-02-2021
"Deelgenomen aan een debat, op uitnodiging van SIB-Groningen, ter waarde van € 99,- (hotel, diner en ontbijt).",29-10-2020
"Bijgewoond de Diwan awards Gala voor het uitreiken van een prijs aan een van de genomineerden, gala en diner ter waarde van €300,-.",30-11-2019
"Ontvangen van de Gemeente Rotterdam 2 kaarten voor North Sea Jazz ter waarde van €190,-.",13-06-2019
"Ontvangen van de Provincie Limburg twee kaarten voor de Tefaf ter waarde van €80,-.",22-03-2019
"Ontvangen van gemeente Groningen een kaart voor Eurosonic Noorderslag op 17, 18 en 19 januari 2019 met een totale waarde van €167,-.",17-01-2019
"Ontvangen van Netherlands Maritime Technology een kaart voor de Maritime Gala awards ter waarde van €125,-.",12-11-2018
Ontvangen gala kaarten voor het Martiem Gala 2017 van Nederland Martiemland. De waarde is onbekend.,12-11-2017
Geschenk,Datum
Ontvangen een Chinees Paper-cut boek van Chinese delegatie Juridische commissie Parlement van China. De waarde is onbekend.,27-09-2017
Ontvangen van NOCNSF twee kaarten voor een voetbalwedstrijd van het Nederlandse vrouwen voetbalteam. De waarde is onbekend.,20-07-2017
Ontvangen van gemeente Rotterdam twee kaarten voor het North Sea Jazz festival. De waarde is onbekend.,08-07-2017
"Ontvangen van Elsevier het boek ""Te Wapen in het kielzog van een krimpende krijgsmacht"" van Eric Vrijsen ter waarde van €14,95.",03-04-2016
"Ontvangen van Elsevier het boek ""Enkele reis Nederland hoe massa-immigratie ons land veranderde"" van Gertjan van Schoonhoven ter waarde van €14,95.",03-04-2016
"Ontvangen van Elsevier het boek ""Anatomie van de macht"" van Eric Vrijsen ter waarde van €14,95.",03-04-2016
"Ontvangen van Elsevier het boek ""Zonder Koningin"" van Paul Bovend'Eert ter waarde van €14,95.",03-04-2016
"Ontvangen van Elsevier het boek ""Heimweeland reportages over de strijd van Nederlanders tegen verandering"" van Jelte Wiersma ter waarde van €14,95.",03-04-2016
"Ontvangen van Elsevier het boek ""De executie van oom Koen en 24 andere historische reportages over de Tweede Wereldoorlog"" van Lennaert Lubberding ter waarde van €14,95.",03-04-2016
"Ontvangen van Elsevier het boek ""Republiek van vrije burgers het onbehagen in de democratie"" van H.J. Schoo ter waarde van €14,95.",03-04-2016
"Ontvangen van Elsevier het boek ""Einddoel Witte Huis hoe de Amerikanen hun president kiezen"" van Koen Petersen ter waarde van €14,95.",03-04-2016
"Ontvangen van Elsevier het boek ""Alle 18 presidenten van De Nederlandsche Bank"" van Paul de Hen ter waarde van €19,95.",03-04-2016
"Ontvangen een kaart voor het gala Rotterdams Philharmonisch orkest, betaald door gemeente Rotterdam. De waarde is onbekend.",19-03-2016
"Ontvangen een kaart voor de Paardenconcours Brabanthallen, betaald door Nicole van Doorn. De waarde is onbekend.",12-03-2016
Deelgenomen aan een diner ten behoeve van een kennismaking met de onderafdeling Brabant D66. De waarde is onbekend.,11-03-2016
"Berg, J.A.M.J. (Joba) van den - CDA",
Geschenken,
Geschenk,Datum
"Ontvangen vanwege deelname aan een panel bij congres van Pandemic Disaster and Preparedness Center een bon ""Een boompje cadeau"" ter waarde van €29,90.",30-10-2023
Ontvangen van provincie Zeeland een pakket met diverse Zeeuws lekkernijen. De waarde is onbekend.,26-10-2023
Ontvangen notitie blokjes na het geven van twee gastlessen bij Zuidwesthoek School in Goes. De waarde is onbekend.,16-10-2023
"Ontvangen van NAPA vanwege deelname in panel, een boeket gemengde rozen plus glazenvaas met Zeeuws knoopje. De waarde is onbekend.",16-10-2023
"Ontvangen vanwege deelname aan een uitzending van Pointer radio, een fles rode wijn. De waarde is onbekend.",15-10-2023
Ontvangen van Maghalie van der Bunt-George het boek 'Oro is goud'. De waarde is onbekend.,12-10-2023
Ontvangen van de Gemeente Zundert (Burgemeester en ambtenaren) een geborduurde theedoek. De waarde is onbekend.,12-10-2023
Ontvangen na een optreden bij Radar een Dopper met Radar logo. De waarde is onbekend.,09-10-2023
Ontvangen een mand Zeeuwse producten naar aanleiding van een bijeenkomst over de zorg in Heinkenszand georganiseerd door CDA senioren Zeeland en CDA vrouwen Zeeland. De waarde is onbekend.,29-09-2023
"Ontvangen voor een bijdrage aan het congres Medical PHIT een fles witte wijn (de waarde is onbekend), Bolcom bon van €100,- en een Multi Cable met Medical PHIT logo (de waarde is onbekend).",22-09-2023
"Ontvangen een fles rode wijn vanwege deelname aan een panel, georganiseerd door CDJA, Jongeren Wetenschappelijk Bureau GroenLinks en de Jong Wiardi Beckman Stichting. De waarde is onbekend.",14-09-2023
"Ontvangen tijdens een werkbezoek aan de apotheek Hoge Zijde in Alphen aan de Rijn, een fles olijfolie, een zakje van 350 gram met gemengde noten en een Parker balpen met logo van de Vereniging van Jonge Apothekers (VJA). De waarde",24-08-2023
is onbekend.,
Ontvangen van CDA Kapelle bij werkbezoek een fles rode wijn en twee zakjes zoutjes. De waarde is onbekend.,14-07-2023
"Ontvangen het boek “Verstikkende bureaucratie met wortel en tak uitroeien” door Guus Berkhout en Hans de Jongh, uitgeverij Aspect. De waarde is onbekend.",22-06-2023
Ontvangen een fles Sapinca organic root elixir vanwege een bijeenkomst Young professionals in de zorg georganiseerd door BPRA. De waarde is onbekend.,22-06-2023
Ontvangen een wensboompje (appel) vanwege presentatie aan Ledenraad Menzis. De waarde is onbekend.,16-06-2023
Gast van NVSHA bij ochtendprogramma ICEM (International Congress Emergency Medicine) in Amsterdam. De waarde is onbekend.,16-06-2023
Ontvangen van het Voedingscentrum het ‘Schijf van Vijf Kookboek’. De waarde is onbekend.,12-06-2023
Ontvangen een doosje met vier ‘domtorentjes’ (chocolade met crème) vanwege presentatie aan studenten Utrecht Law College. De waarde is onbekend.,08-06-2023
Ontvangen van Gerhard Bruggink/Axon wegens deelname aan panel over duurzaamheid in de zorg een fles Rosé. De waarde is onbekend.,26-05-2023
"Ontvangen tijdens een werkbezoek aan Zorgbelang Brabant/Zeeland in Goes, een thermo-dopper ter waarde van €29,95.",21-04-2023
Ontvangen tijdens een werkbezoek een koffiemok van 'Beter Dichtbij'. De waarde is onbekend.,14-04-2023
Ontvangen tijdens een werkbezoek aan Zuidwest Radio Therapeutisch Instituut een muts en een sjaal. De waarde is onbekend.,11-03-2023
Ontvangen tijdens een werkbezoek aan Tiofarma een boeket bloemen. De waarde is onbekend.,10-03-2023
"Ontvangen een boekenbon vanwege een presentatie voor Post Rotarians ter waarde van €30,-.",28-02-2023
Ontvangen tijdens werkbezoeken in Sneek en Bolsward een mand met Friese producten en een boeket bloemen. De waarde is onbekend.,24-02-2023
Geschenk,Datum
