"Aartsen, A.A. (Thierry) - VVD",
Ontvangen van het Voedingscentrum het ‘Schijf van Vijf Kookboek’. De waarde is onbekend.,13-06-2023
"Ontvangen van Martin Pikaart het boek ‘Wanbeleid, Algemeen Burgerlijk’. De waarde is onbekend.",12-06-2023
Ontvangen van Martin Pikaart het boek ‘Het Polderkartel’. De waarde is onbekend.,24-05-2023
"Ontvangen van de VVD Masterclass Rotterdam het boek ‘Veel, klein en curieus: De wereld van Antoni van Leeuwenhoek (1632-1723)'. De waarde is onbekend.",21-04-2023
Ontvangen van de wethouder van Voorschoten een fles wijn en Voorschotens Kruidenbitter. De waarde is onbekend.,14-04-2023
Ontvangen van de Gemeente Delft een uitnodiging voor de Matthäus-Passion in de Nieuwe Kerk te Delft. De waarde is onbekend.,06-04-2023
Ontvangen het boek “Worst Bank Scenario” van Hester Bias en Wink Sabée. De waarde is onbekend,14-03-2023
Ontvangen van de Gemeente Rotterdam twee tickets voor het nieuwjaarsconcert op 12 januari 2023. De waarde is onbekend.,10-01-2023
Ontvangen van de Koreaanse delegatie die op 15 december 2022 een bezoek bracht aan de Kamer een opbergdoosje. De waarde is onbekend.,15-12-2022
Ontvangen van Mars Nederland een chocoladepakket. De waarde is onbekend.,12-12-2022
Ontvangen van Heineken een bierpakket met alcoholvrij bier (0.0%). De waarde is onbekend.,28-11-2022
Ontvangen van de Lion’s Club ’s Hertogenbosch een bos bloemen als dank voor een spreekbeurt. De waarde is onbekend.,14-11-2022
Ontvangen van het Meisjeshuis twee flessen wijn als dank voor het houden van een lezing. De waarde is onbekend.,19-10-2022
Ontvangen van de Nederlandse Orde van Belastingadviseurs (NOB) twee flessen wijn. De waarde is onbekend.,04-10-2022
Ontvangen van Napco een fles wijn en het boek 'Het Koninklijk Huis' geschreven door Herman Koch. De waarde is onbekend.,28-09-2022
Ontvangen een gepersonaliseerd chocoladetablet van Pondres tijdens een werkbezoek. De waarde is onbekend.,12-07-2022
Ontvangen een bos bloemen voor deelname aan #Flexcrisis Te Lijf van de FNV. De waarde is onbekend.,24-06-2022
Ontvangen een borrelpakket voor deelname aan een themabijeenkomst over pensioenen. De waarde is onbekend.,15-06-2022
Ontvangen van Fontys Hogeschool een Florence Nightingale Guidelight. De waarde is onbekend.,14-06-2022
Geschenk,Datum
Ontvangen van VvDN een fles witte wijn voor deelname aan de debatbijeenkomst. De waarde is onbekend.,13-06-2022
Ontvangen een bos bloemen voor deelname aan het Aegon/VU Flitscongres. De waarde is onbekend.,13-06-2022
Ontvangen van de Gemeente Delft een uitnodiging voor de Matthäus-Passion in de Nieuwe Kerk te Delft. De waarde is onbekend.,13-04-2022
Ontvangen van Deliveroo Amsterdam een trui. De waarde is onbekend.,04-04-2022
Ontvangen van de Provincie Zeeland een Zeeuwse pen. De waarde is onbekend.,31-03-2022
Ontvangen van Rob de Brouwer de boeken ‘Het pensioendrama ontrafeld’ en ’21 mythes en onwaarheden over ons pensioen’. De waarde is onbekend.,30-03-2022
Ontvangen van Uitgeverij Noordhoff de 56e editie van de Bosatlas. De waarde is onbekend.,30-03-2022
"Ontvangen van Marcel Gerritsen van BPRA een fles kruidenbitter en het boek ""Billy Summers"" geschreven door Stephen King. De waarde is onbekend.",21-03-2022
Ontvangen van BeGlobal een blik stroopwafels. De waarde is onbekend.,18-03-2022
"Ontvangen van Teun Toebes het boek ""VerpleegThuis: Wat ik leer van mijn huisgenoten met dementie"". De waarde is onbekend.",16-12-2021
"Ontvangen van Basisberaad Rotterdam, een afdeling van Zorgbelang Inclusief een viertal pennen. De waarde is onbekend.",10-12-2021
Ontvangen van Connie Rijlaarsdam van Nu Niet Zwanger het boek ‘Nu kan ik verder’ De echte verhalen van Nu Niet Zwanger. De waarde is onbekend.,08-12-2021
"Ontvangen voor het houden van een lezing bij Delft Business, een paar sokken en een waardebon van €100,-.",11-11-2021
Ontvangen van UPSV een fles rode wijn als dank voor deelname aan een panel. De waarde is onbekend.,18-11-2020
Ontvangen tijdens een werkbezoek een gepersonaliseerd t-shirt van Heracles Almelo. De waarde is onbekend.,14-02-2020
Ontvangen bij zijn afscheid van de lokale gemeenteraad Delft een gepersonaliseerd Delfsblauw bordje ontvangen. De waarde is onbekend.,26-09-2019
Ontvangen één toegangskaart voor CH de Wolden op uitnodiging van CH de Wolden. De waarde is onbekend.,21-07-2019
"Smolders, H.A.J. (Hans) - Groep Van Haga",
Geschenken,
Geschenk,Datum
Geen,
"Sneller, J.C. (Joost) - D66",
Geschenken,
Geschenk,Datum
Ontvangen een ticket voor interdisciplinary conference on psychedelic research (ICPR). De waarde is onbekend.,23-09-2022
"Ontvangen van Uitgeverij Noordhoff de 56e editie van De Grote Bosatlas ter waarde van €69,95.",06-04-2022
"Aanwezig geweest bij het Asperge diner te Nieuwspoort, uitgenodigd door H.J. van Henten (Competition Support). De waarde is onbekend.",18-05-2018
"Staaij, C.G. (Kees) van der - SGP",
Geschenken,
Geschenk,Datum
"Ontvangen van de Gemeente Den Haag 2 tickets voor het Prinsjesdag-concert. De waarde is minimaal €70,-.",21-09-2023
"Ontvangen van uitgeverij Noordhoff de 56e editie van de Grote Bosatlas ter waarde van €70,-.",01-04-2022
"Ontvangen voor het houden van een lezing voor Jongeren GGiN Barneveld, €70 (inclusief reiskosten).",08-10-2021
"Ontvangen waardebonnen ter waarde van €300,- voor een bijdrage aan de Benzo Businessclub Hoeksewaard",22-01-2020
"Ontvangen van uitgeverij Jongbloed boeken ter waarde van €250,- voor een bijdrage aan het boekje ""Zeg het maar""",09-01-2020
"Ontvangen van de auteur, dhr. Sven Koopmans, het boek ""Negotiating Peace - a guide to the practice, politics, and law of international mediation"" ter waarde van €133,-.",12-09-2018
"Ontvangen €150,- voor een bijdrage tijdens een gemeenteavond reformatorische kerken te Den Haag.",01-06-2018
"Ontvangen van Jip Wijngaarden, ter gelegenheid van de opening van haar expositie: giclée “In al hun benauwheid was Hij benauwd” en het boek “Boom des levens”. De waarde is onbekend.",01-05-2018
"Ontvangen voor een bijdrage aan de boekpresentatie leerstoel ""Kerk in de context van de islam"" een cadeaubon ter waarde van €50,- en een dinerbon ter waarde van €25,-.",19-05-2017
"Ontvangen voor het houden van een lezing aan de EMG-academie cadeaubonnen met een totale waarde van €100,-.",15-05-2017
"Ontvangen in het kader van Valentijn een stofzuiger ter waarde van €205,- van Klop Innovations. De stofzuiger wordt geveild voor het goede doel.",14-02-2017
"Ontvangen €100,- voor het houden van een masterclass voor de EMG-academie te Hoenderloo.",18-01-2016
Geschenk,Datum
"Ontvangen van Van Dale Uitgevers het ""Van Dale Groot woordenboek van de Nederlandse taal"" ter waarde van €149,-.",07-10-2015
"Ontvangen kadobonnen ter waarde van €100,- naar aanleiding van een causerie EMG-academie te Hoenderloo.",12-01-2015
"Ontvangen €83,- voor het houden van een lezing voor de Studium Generaal Hogeschool Driestar te Gouda.",15-10-2014
"Ontvangen een Van Dale Groot Etymologisch Woordenboek als dank voor bijdrage aan het Jubileumboek Van Dale. De waarde is €74,95.",15-04-2014
Ontvangen een vaas van de 'Taipei Representative Office in the Netherlands'. De waarde is onbekend.,28-01-2013
"Ontvangen 2 kaarten voor concert Weihnachtsoratorium van het Bachkoor, Pieterskerk Leiden (op uitnodiging van B&W Leiden).",17-12-2011
Ontvangen het Van Dale Groot Woordenboek Nederlandse taal en pennenset t.g.v. Groot Dictee der Nederlandse Taal.,14-12-2011
"Ontvangen van Boom uitgevers Amsterdam drie boeken: Montesquieu, over de geest van de wetten (waarde €64,50); Mill over de vrijheid (waarde €18,50) en Pascal Bruckner, Tirannie van het berouw (€23,90), Totale waarde €106,90.",30-09-2008
"€100,-- (+ reiskosten) voor een bijdrage aan studiedagen van het Van Lodensteincollege over integratie.",08-02-2007
"€100,-- (geschenkbon) voor het houden van een lezing bij het Platform Waarden en Normen, Veenendaal.",07-12-2006
"€75,-- (boekenbonnen) i.v.m. lezing voor studievereniging Koinonia te Lienden.",13-05-2006
"Voor deelname aan de SGP-jongerendag boekenbonnen ter waarde van €70,--",11-02-2006
"€100,-- (boekenbonnen) voor de Bavincklezing (organisatie Nederlands Dagblad en Documentatiecentrum van het Nederlands Protestantisme)",27-04-2005
"Stoffer, C. (Chris) - SGP",
Geschenken,
Geschenk,Datum
"Ontvangen van uitgeverij Noordhoff de 56e editie van de Grote Bosatlas ter waarde van €70,-.",01-04-2022
"Ontvangen bij werkbezoek Dutch Blower, Almelo een luchtbehandelingskast. De waarde is onbekend.",07-05-2021
"Ontvangen voor het houden van een lezing voor het Deputaatschap onderwijs, opvoeding en catechese, €200,-.",08-04-2021
"Ontvangen voor het houden van een lezing voor Driestar Educatief Gouda €100,-.",01-09-2020
"Ontvangen voor het houden van een lezing voor SGP Putten een boekenbon ter waarde van €75,-.",07-10-2019
"Ontvangen voor het houden van een lezing voor SGP Lunteren €125,-.",14-01-2019
"Strien, P.J.T. (Pim) van - VVD",
Geschenken,
Geschenk,Datum
"Ontvangen van WeesWijzer het boek ‘Zo, nu ben je wees’ geschreven door Jojanneke van den Bosch. De waarde is onbekend.",18-10-2023
Ontvangen van de Koninklijke Schouwburg één paraplu. De waarde is onbekend.,21-09-2023
Ontvangen een boek over Politieke polarisatie in Nederland geschreven door Paul Dekker. De waarde is onbekend.,06-09-2023
"Ontvangen van het voedingscentrum het boek ‘Schijf van Vijf kookboek’ ter waarde van €19,95.",22-06-2023
"Ontvangen van Het Nationale Theater twee kaartjes voor de voorstelling ‘Tijd zal ons leren’ ter waarde van €39,-.",22-06-2023
Ontvangen van Google Nederland twee toegangskaarten voor de TNW conference Amsterdam. De waarde is onbekend.,16-06-2023
"Ontvangen het boek 'Verstikkende bureaucratie met wortel en tak uitroeien' ter waarde van €12,95.",07-06-2023
Ontvangen van het college van B&W Rotterdam twee avondkaarten voor het North Sea Jazz festival. De waarde is onbekend.,02-06-2023
"Ontvangen het boek ‘Worst Bank Scenario’ van Hester Bais & Wink Sabée ter waarde van €25,-.",14-03-2023
Ontvangen twee toegangskaartjes voor de AFAS Edisons 2023. De waarde is onbekend.,14-03-2023
Ontvangen van Cultuur onder Vuur het boek ‘Hoe winnen we de klimaatoorlog?’. De waarde is onbekend.,22-12-2022
"Ontvangen van Uitgeverij Elsevier boeken het boek ‘Handboek Minister’ ter waarde van € 14,95.",22-12-2022
"Ontvangen van de burgermeester van ’s-Hertogenbosch, J. Mikkers, het boek ‘De wereld op zijn kop’ van Marjon Zijlstra en Carla van der Meer en een fleece sjaal. De waarde is onbekend.",13-12-2022
Ontvangen twee kaartjes voor de ITA-voorstelling Judas. De waarde is onbekend .,10-04-2022
"Ontvangen van Uitgeverij Noordhoff de zesenvijftigste editie van de Grote Bosatlas ter waarde van €69,95",08-04-2022
"Bijgewoond op uitnodiging van Gemeente Den Haag het Prinsjesdagconcert, inclusief diner en opening Cultureel centrum Amara. De waarde is onbekend.",21-09-2021
Bijgewoond op uitnodiging van Heineken de F1 Grand Prix te Zandvoort. De waarde is onbekend.,05-09-2021
Bijgewoond op uitnodiging van de organisatie een voorstelling tijdens Cultura Nova. De waarde is onbekend.,31-08-2021
Geschenk,Datum
Bijgewoond op uitnodiging van de NOS de Finale van het Eurovisie Songfestival. De waarde is onbekend.,22-05-2021
"Strolenberg, M.F. (Mark) - VVD",
Geschenken,
Geschenk,Datum
Ontvangen van burgemeester Eric van Oosterhout het boek ‘Gelukkig in Emmen’. De waarde is onbekend.,01-11-2023
Ontvangen een diner tijdens een bijeenkomst met kandidaten van de VVD-Masterclass van VVD Noord-Nederland. De waarde is onbekend.,17-10-2023
"Ontvangen van Groningen Airport Eelde een bambook ter waarde van €22,-.",17-10-2023
Ontvangen van Transitiecoalitie Voedsel een goodie bag met eiwitrijke producenten en een kookboek. De waarde is onbekend.,17-10-2023
Ontvangen van sociëteit A37 een diner tijdens het door de A37 georganiseerde Regiodebat Noord-Oost Nederland. De waarde is onbekend,16-10-2023
Ontvangen een lunch van Fokker Aerostructures BV Hoogeveen. De waarde is onbekend.,16-10-2023
Ontvangen van Sanquin Bloedvoorziening een bos bloemen als dank voor het spreken op hun congres. De waarde is onbekend.,11-10-2023
"Ontvangen van de Provincie Drenthe twee kaarten voor het EK-wielrennen (in Drenthe, op de Col du Vam). De waarde is onbekend.",26-09-2023
"Ontvangen van M50 (Platform Middelgrote Gemeenten) een koffie warmhoudbeker, Zeister Schandaaltjes (koekjes) en het Middelgrote Centrumsteden Kwartetspel. De waarde is onbekend.",20-09-2023
Ontvangen van de Vereniging Drentse Gemeenten een lunch en excursie bij Nationaal Gevangenismuseum in Veenhuizen. De waarde is onbekend.,15-09-2023
Ontvangen van de Gedeputeerde Staten van provincie Flevoland een diner. De waarde is onbekend.,13-09-2023
"Ontvangen van Marjolein Groot Koerkamp het boek ‘Botsende beschavingen’, ter waarde van €29,99.",13-09-2023
"Ontvangen van het College van Burgemeester en Wethouders Het Hogeland voor twee personen een diner en voorstelling Ripperda ter waarde van €150,-.",08-09-2023
Ontvangen van het Voedingscentrum een lunch en het boek ‘Lekker voor weinig: gezonde budgetrecepten’. De waarde is onbekend.,06-09-2023
Ontvangen van GETEC Park Emmen een lunch. De waarde is onbekend.,30-08-2023
"Ontvangen van Judith Tielen het boek 'Business Plan op 1 A4' ter waarde van €14,99.",29-08-2023
"Ontvangen van de provincie Groningen een diner, voorstelling Festival Noorderzon en overnachting. De waarde is onbekend.",25-08-2023
Ontvangen van de gemeente Hoogeveen een kaartje voor de voorstelling 'Boer Koekoek in Hollandscheveld'. De waarde is onbekend.,15-08-2023
Ontvangen van Overleg Zeeuwse Overheden twee chocolaatjes. De waarde is onbekend.,05-07-2023
Ontvangen van NL Voedt hapjes uit het Nederlandse voedsellandschap. De waarde is onbekend.,04-07-2023
"Ontvangen van het bestuur van de Stichting Synthesis het boek ""Politieke Polarisatie in Nederland"" ter waarde van €19,90.",04-07-2023
"Ontvangen van het college van Gedeputeerde Staten Friesland een zeildag skûtsjesilen met lunch, jack en suikerbrood.",01-07-2023
Ontvangen van het college van Gedeputeerde Staten van Drenthe twee kaarten voor de Dutch TT. De waarde is onbekend.,21-06-2023
"Ontvangen van Talentenjagers Hoogeveen, een gips hand kunstwerk. De waarde is onbekend.",16-06-2023
"Ontvangen van Guus Berkhout en Hans de Jongh het boek ‘Verstikkende bureaucratie met wortel en tak uitroeien’ ter waarde van €12,95",13-06-2023
"Ontvangen van het Voedingscentrum het boek ‘Schijf van vijf kookboek’ ter waarde van €19,95.",13-06-2023
"Ontvangen van de Nederlandse Arbeidsinspectie een paar werkschoenen, ter behoeven van werkbezoeken ter waarde van €34,95.",02-06-2023
Ontvangen van GevelBeheer twee speciaalbiertjes. De waarde is onbekend.,26-05-2023
Ontvangen van VVD Drenthe bestuur een fles witte wijn naar aanleiding van een ledenbijeenkomst over klimaat en energie in Westerbork. De waarde is onbekend.,11-05-2023
Ontvangen van Avebe een goodiebag met macarons. De waarde is onbekend.,11-05-2023
Ontvangen van VVD Provinciale Statenfractie Drenthe en bestuur een etentje. De waarde is onbekend.,08-05-2023
"Ontvangen van gemeente Assen, een Koningsconcert van de KMK JWF. De waarde is onbekend.",26-04-2023
Ontvangen van mevrouw Udinga het boek ‘De stamhouder’. De waarde is onbekend.,23-03-2023
Ontvangen van Jumbo een miniatuur Jumbo vrachtwagen. De waarde is onbekend.,17-03-2023
Ontvangen van Organisatie Ronde van Drenthe een jubileumboek over de Ronde van Drenthe. De waarde is onbekend.,15-03-2023
"Ontvangen van Hester Bais en Wink Sabée het boek ‘Worst bank scenario’ ter waarde van €25,00.",14-03-2023
Ontvangen van Schouwburg Ogterop Meppel een Zuivelhoeve borrelpakket. De waarde is onbekend.,10-03-2023
Ontvangen van delegatie van het parlement van Indonesië een Indonesisch kleed. De waarde is onbekend.,07-03-2023
Ontvangen van Jochem Koot een diner bij Boschhuis in Ter Apel. De waarde is onbekend.,06-03-2023
Ontvangen van Pandriks een tasje met afbakbroodjes. De waarde is onbekend.,04-03-2023
Ontvangen van De Bedrijven sociëteit A37 een diner. De waarde is onbekend.,20-02-2023
Geschenk,Datum
Ontvangen van de gemeente Groningen een diner en een bezoek bij een concert tijdens Eurosonic Noorderslag festival en een overnachting. De waarde is onbekend.,20-01-2023
Deelgenomen op uitnodiging van de Stuurgroep Waddenprovincies aan een Waddendiner. De waarde is onbekend.,17-01-2023
"Ontvangen van de Waddenacademie het boek ‘Landschapsbiografie Waddengebied’ ter waarde van €24,90.",17-01-2023
Ontvangen van de Voorzitter van de Tweede Kamer der Staten-Generaal twee zilveren waxinelichthouders. De waarde is onbekend.,17-01-2023
Ontvangen van Airbus Defence & Space een waterfles en sleutelhanger. De waarde is onbekend.,15-01-2023
Ontvangen van Energie & Grondstoffen fabriek Aqua Minerals een flesje blond bier. De waarde is onbekend.,22-12-2022
"Ontvangen van Elsevier Weekblad het boek ‘Handboek Minister’ ter waarde van €14,95.",20-12-2022
"Ontvangen van RTV Drenthe, twee flessen wijn. De waarde is onbekend.",19-12-2022
"Ontvangen van Hester Bias, twee maal het boek ‘Worst bank scenario’, ter waarde van €25.",19-12-2022
"Ontvangen van Ad Bos het boek 'Klokkenluider: Het leven Ad en Joke Bos', ter waarde van € 14,95.",14-12-2022
Ontvangen van ambtenaren van de provincie Drenthe een boekje over Programma Natuurlijk Platteland. De waarde is onbekend.,08-12-2022
Ontvangen van ambtenaren uit Meppel een goodiebag. De waarde is onbekend.,02-12-2022
Ontvangen van VVD Drenthe een chocoladepakketje. De waarde is onbekend.,28-11-2022
"Ontvangen van VVD Meppel, Steenwijkerland, Zwartewaterland en Westerveld, een fles rode wijn. De waarde is onbekend.",24-11-2022
"Ontvangen van de Club van 100 het boek ‘De prijs van de macht’ ter waarde van €21,99.",16-11-2022
Ontvangen van J. Koot een bosje bloemen. De waarde is onbekend.,15-11-2022
"Ontvangen van de ambtenaren van de provincie Drenthe, een Drents bierpakket. De waarde is onbekend.",15-11-2022
Ontvangen van de Regio Zwolle een rode mok met Drenthe erop. De waarde is onbekend.,19-10-2022
Ontvangen van de Vereniging Drentse Gemeenten een goodiebag met een kaartspel over gemeente Aa & Hunze. De waarde is onbekend.,19-10-2022
"Ontvangen van Studio Vers Bestuur het boek 'Hoe dan?' ter waarde van €29,99.",16-09-2022
"Ontvangen van Heli Holland het boek ‘Wetenschap is geen mening. Klimaat, energie en stikstof uitgelegd’ ter waarde €24,95.",09-09-2022
"Ontvangen van White Goblin Games het spel ‘Qwixx’ ter waarde van €10,90.",09-09-2022
Ontvangen van het Voedingscentrum een lunch. De waarde is onbekend.,07-09-2022
"Ontvangen van de Provincie Groningen en Gemeente Groningen een lopend buffet, voorstelling tijdens Noorderzonfestival en overnachting. De waarde is onbekend.",26-08-2022
Ontvangen van Stichting De Gouden Pijl vier kaarten voor het wielerevent in Emmen. De waarde is onbekend.,31-07-2022
Ontvangen van de Raad van Openbaar bestuur een essaybundel 'Wetenschap en Overheidsbeleid'. De waarde is onbekend.,25-07-2022
Ontvangen van Sterk Noord-Nederland 'kleurrijke bloembolletjes’. De waarde is onbekend.,25-07-2022
"Ontvangen het boek ‘Foutje moet kunnen’ van Klaas Mulder ter waarde van €25,-.",30-06-2022
"Ontvangen het boek ‘Waakzaam burgerschap’ van Ernst Hirsch Ballin ter waarde van €22,50.",29-06-2022
Ontvangen twee kaarten voor de TT-Assen. De waarde is onbekend.,26-06-2022
Ontvangen een notitieboek Werk aan Uitvoering. De waarde is onbekend.,23-06-2022
Ontvangen van de Provincie Zuid Holland een diner. De waarde is onbekend.,18-05-2022
Deelgenomen aan het tiende Achterhoeks Lentediner in Nieuwspoort op uitnodiging van de Achterhoek Ambassadeurs. De waarde is onbekend.,18-05-2022
Ontvangen van de Provincie Noord-Holland het boek 'Paviljoen Welgelegen'. De waarde is onbekend.,18-05-2022
"Ontvangen van P. van Houwelingen, het boek “Microfobie”, ter waarde van €19.95.",12-05-2022
"Ontvangen van Noordhoff een Bosatlas ter waarde van €69,95 .",31-03-2022
Ontvangen van de Provincie Zeeland een pen. De waarde is onbekend.,31-03-2022
Ontvangen van het Interprovinciaal Overleg (IPO) een workshop chocolade en een stripboek over provincies. De waarde is onbekend.,29-03-2022
Ontvangen van IPO-VNG-UvW een diner bij het Louwman Museum. De waarde is onbekend.,28-03-2022
"Ontvangen van het Alfa College Hoogeveen een bedankje (wijn, chocola, informatieboekjes). De waarde is onbekend.",23-03-2022
Ontvangen van de JOVD 6 weizenbier in verband met een spreekbeurt in Groningen. De waarde is onbekend.,17-02-2022
Ontvangen van het Ministerie van de toekomst tweedehands waterschoentjes mt 32. De waarde is onbekend.,14-02-2022
"Ontvangen een pakketje met kruidenbitter en droge worst van VVD Hoogeveen ter waarde van €15,20.",14-02-2022
Ontvangen van Maatschap Peek een zakje aardappelen. De waarde is onbekend.,31-01-2022
Ontvangen van de VVD Drenthe Centraal een bos bloemen. De waarde in onbekend.,31-01-2022
Geschenk Datum
"Ontvangen van de Oogvereniging het boek “Gezien, over leven met een visuele beperking” ter waarde van €24,95. 27-01-2022"
Ontvangen van VVD fractie een bos bloemen. De waarde is onbekend. 25-01-2022
Ontvangen van 2022 SportCity een VIP-pas voor een dag sporten. De waarde is onbekend. 25-01-2022
Ontvangen van de Provincie Zeeland een Zeeuws lekkernij pakket. De waarde is onbekend. 19-01-2022
"Ontvangen van de Gemeentes Kerkrade en Heerlen een ontbijt in Hotel Babylon ter waarde van €18,50. 11-11-2021"
Ontvangen een Google Titan Security Key. De waarde is onbekend. 10-11-2021
"Ontvangen het boek 'Wethouders, waarachtige (ver)leiders' van Petra Habets ter waarde van €25,-. 10-11-2021"
Ontvangen een gegraveerde Hensbeker van het Waterschap Drents Overijsselse Delta. De waarde is onbekend. 02-11-2021
"Ontvangen van Dierenbescherming een plantpowered driegangendiner tijdens Dutch Food Week ter waarde van €49,50. 14-10-2021"
"Ontvangen van de Provincie Drenthe, reclame-pennen en een water-dopper. De waarde is onbekend . 12-10-2021"
"Ontvangen van de Gemeente Hoogeveen, een bos bloemen en glaskunstwerk. De waarde is onbekend . 11-10-2021"
"Ontvangen van de VVD Provinciale Statenfractie, een lunch. De waarde is onbekend. 08-10-2021"
"Ontvangen van het Genootschap van Burgemeesters, een tas met enkele streekproducten. De waarde is onbekend. 07-10-2021"
"Ontvangen van de Regio Zwolle, een rugzak met enkele streekproducten. De waarde is onbekend . 29-09-2021"
"Temmink, N.G.J. (Nicole) - SP"
Geschenken
Geschenk Datum
Geen
"Teunissen, C. (Christine) - PvdD"
Geschenken
Geschenk Datum
"Ontvangen van de Diervriendelijke Parlementaire BBQ een vegan levensmiddelenpakket met een geschatte waarde van €50,-. 06-09-2022"
"Ontvangen van Noordhoff Uitgever ""De Grote Bosatlas 56e editie"""" ter waarde van € 69,95. 29-03-2022"
"Teunissen, J.C.M. (Hans) - D66"
Geschenken
Geschenk Datum
Geen
"Thijssen, J. (Joris) - GL-PvdA"
Geschenken
Geschenk Datum
Ontvangen van Noordhoff Uitgevers de 57e versie van de Bosatlas. De waarde is onbekend. 21-12-2022
"Tielen, J.Z.C.M. (Judith) - VVD"
Geschenken
Geschenk Datum
"Ontvangen van dhr. Marcelo Mooren het boek 'Vaste grond: nieuw houvast als alternatief voor populisme' ter waarde van ongeveer €29,95. 04-10-2023"
"Ontvangen van IKNL een Nationale Keuzecadeaukaart, als dank voor deelname aan de paneldiscussie tijdens het avondsymposium Dure geneesmiddelen van 3 oktober 2023 ter waarde van €50,00. 03-10-2023"
"Ontvangen van VVD Apeldoorn een wijn/notenpakket ter waarde van ongeveer €30,-. 29-09-2023"
"Ontvangen van Michiel van Vliet het boek ‘Zetje Verpleegkundige Adviesraad op de kaart! Een praktisch handboek voor leden, voorzitters en (ambtelijk) secretarissen van een VAR, VVAR, ZAR, PAR, MAR,VSC of VSB’ van Michiel van Vliet ter 04-07-2023"
"waarde van €49,95."
Geschenk,Datum
"Ontvangen het boek ‘Worst Bank Scenario’ (over netwerkcorruptie en de grootste bankenfraude ooit) van Hester Bais en Wink Sabée ter waarde van €25,00.",14-03-2023
"Ontvangen van de stuurgroep scholenprogramma Groningen het boek 'Pronkjewail: een nieuw scholenlandschap in het aardbevingsgebied in Noordoost-Groningen: hoe een bedreiging een kans werd' ter waarde van € 25,-.",19-01-2023
Ontvangen het fotoboekje Prinsjesdag 2022 – 20 september van Verenigde Vergadering der Staten-Generaal. De waarde is onbekend.,21-12-2022
"Ontvangen het Handboek Minister: De lang geheimgehouden instructies aan bewindslieden, ook wel het ‘blauwe boek’ genoemd van Elsevier. De waarde is onbekend.",21-12-2022
"Ontvangen van VVD Den Bosch voor het geven van een training een boekenbon ter waarde van € 20,-.",01-12-2022
Ontvangen van de Commissaris van de Koning Groningen en de Burgemeester van de gemeente Groningen een fotoboek 'Een streepje voor'. De waarde is onbekend.,01-12-2022
Ontvangen van Haagsche VVD voor het geven van een masterclass een fles hopjeslikeur . De waarde is onbekend.,29-11-2022
"Ontvangen als dank voor het geven van een masterclass aan VVD Regio Zuid-Holland het boek 'Het tijdperk van de sterke man' van Gideon Rachman ter waarde van €24,99.",15-11-2022
Ontvangen van Mars Nederland B.V. een doos vol mini’s. De waarde is onbekend.,15-11-2022
Aanwezig geweest met de contactgroep Duitsland bij een diner op uitnodiging van de Duitse Ambassadeur. De waarde is onbekend.,21-06-2022
"Ontvangen een Lentediner in Nieuwspoort van de Achterhoekambassadeurs met een geschatte waarde van €40,-.",18-05-2022
"Ontvangen van Uitgeverij Noordhoff de zesenvijftigste editie van de Grote Bosatlas ter waarde van €69,95.",30-03-2022
"Ontvangen van Google een Titan security key met een geschatte waarde van €50,-.",07-01-2022
"Ontvangen van de brancheorganisatie reisbureaus het boek ""Trek in Indonesië"" ter waarde van €35,-.",07-01-2022
"Ontvangen een diner in Nieuwspoort van de Achterhoekambassadeurs ter waarde van €50,-.",01-06-2021
"Ontvangen van Wendelmoet Boersema, het Boek 'Gronings Goud' met een geschatte waarde van €25,-.",01-06-2021
"Ontvangen van de Europese Commissie een goodiebag (incl. Poly headset) met een geschatte waarde van €50,-.",28-12-2020
"Ontvangen van journalist Petra de Koning het boek ""Mark Rutte"" ter waarde van €20,-.",08-10-2020
"Ontvangen van de Koeckebackers: anderhalve meter koek ter waarde van €35,-.",06-07-2020
"Ontvangen van de Rabobank een dinerbon ter waarde van € 37,90.",30-01-2020
Ontvangen van de Rabobank een doosje Leonidas chocolade. De waarde is onbekend.,30-01-2020
"Ontvangen ""De geschiedenis van Nederland in 100 oude kaarten"" van de Koninklijke bibliotheek. De waarde is onbekend.",07-06-2019
Ontvangen een Catalogus UB China collectie en twee keer het boek van Remco Breuker “De b.v. Noord-Korea” van de Universiteit Leiden. De waarde is onbekend.,03-06-2019
Ontvangen een toilettas met diverse verzorgingsproducten van de Nederlandse Cosmetica Vereniging. De waarde is onbekend.,11-04-2019
Bijgewoond een diner op de Duits ambassade aangeboden door de Duitse ambassadeur. De waarde is onbekend.,05-02-2019
Bijgewoond een diner van de Universiteit Utrecht aangeboden door de Universiteit Utrecht. De waarde is onbekend.,31-01-2019
Ontvangen twee Drenths bedank pakketten van de huisartsen coöperatie Drenthe. De waarde is onbekend.,03-12-2018
Bijgewoond een diner van ambassadeurs Jeugdzorg in de Geertekerk te Utrecht. De waarde is onbekend.,29-11-2018
Bijgewoond een diner op uitnodiging van het ISO. De waarde is onbekend.,19-11-2018
Ontvangen het boek 'Home Nursing in Europe' van V&VN. De waarde is onbekend.,01-10-2018
Aanwezig geweest bij diner Britse ambassade op uitnodiging UK State Secr Education. De waarde is onbekend.,20-09-2018
"Ontvangen het boek “Donut Economie, in zeven stappen naar een economie voor de 21e eeuw” van Kater Raworth ter waarde van €24,99.",29-05-2018
